"treat" "income74" "income75" "male" "educ" "income78"
1 1441 2488 1 11 3561
1 1869 1703 0 9 2579
1 1516 2258 1 7 3714
1 1690 2093 0 10 2806
1 2336 3105 1 13 3423
1 2154 2426 0 9 2471
1 1653 2006 0 9 3777
1 2252 3262 0 12 2686
1 1589 1695 0 11 3605
1 1763 3223 0 12 2433
1 1950 2913 0 8 3075
1 2017 2166 1 11 2914
1 2135 2900 1 10 3574
1 2000 1858 0 13 2700
1 2228 2592 1 12 3439
1 2052 1975 1 12 2593
1 2174 1452 1 10 3734
1 2922 3112 1 13 2915
1 1493 2374 1 15 2975
1 1543 2219 1 14 2926
1 1502 3039 1 12 3141
1 2503 3374 1 11 2501
1 1776 2440 0 10 2632
1 1635 1721 1 12 3007
1 2140 2279 0 12 2261
1 2574 2378 1 7 2717
1 1285 2321 1 10 4377
1 1689 2327 1 9 3197
1 2041 2799 1 7 3696
1 2854 1988 0 9 2570
1 2695 1105 1 13 2196
1 2490 2053 1 11 3556
1 1861 1990 1 13 2372
1 1419 1300 1 11 2911
1 1237 812 1 12 3602
1 1925 2585 0 8 3125
1 2321 2985 1 12 3263
1 1893 3209 1 14 2643
1 2908 2462 1 11 2464
1 2204 2186 0 9 2606
1 2011 1768 0 9 3112
1 1883 2510 1 14 2856
1 2281 1955 1 11 3553
1 1283 2837 0 10 2782
1 1681 2097 0 9 2651
1 2370 2767 1 12 3460
1 2041 1939 0 10 2902
1 1769 1670 1 12 3427
1 1589 2605 0 12 2320
1 2432 1902 1 10 3104
1 1583 2005 1 14 3277
1 2320 2719 1 14 3169
1 2034 2151 0 13 2051
1 2099 1958 0 6 3049
1 2616 2801 0 14 2832
1 2049 2546 0 13 2937
1 2544 1694 0 7 3061
1 672 2341 0 14 2505
1 1284 2741 0 11 3410
1 2104 2399 0 10 3655
1 1479 2128 1 10 2773
1 2360 2582 1 10 3180
1 1809 2350 0 9 2654
1 1378 2093 1 10 3356
1 1851 2296 1 14 2126
1 2953 1796 0 13 3351
1 2485 1692 0 9 2497
1 2420 2222 0 9 3512
1 2197 1839 1 11 3726
1 2779 2448 0 11 2524
1 1132 2116 1 9 2804
1 1641 3345 1 11 2811
1 1436 2188 0 10 2766
1 2422 2097 0 14 2781
1 2202 2251 0 12 3580
1 1140 2018 1 14 3126
1 2038 2106 0 8 3440
1 2076 1941 1 12 2670
1 1839 1290 0 12 3067
1 1853 1800 0 11 1986
1 2721 1568 0 10 3238
1 2190 2231 0 9 3047
1 3164 2588 0 13 3423
1 2136 2304 0 11 2546
1 3143 2774 0 10 2152
1 2187 2496 1 8 2847
1 1945 2259 1 14 3251
1 1089 2017 0 13 3593
1 1964 2234 1 9 4722
1 1817 1685 0 9 3707
1 1765 2393 0 12 2598
1 2103 2611 1 9 3456
1 1827 2130 0 8 2921
1 1521 2960 1 7 2674
1 2026 2426 1 10 2634
1 1594 3443 1 7 2739
1 2720 1741 0 10 2559
1 2146 2509 1 14 2578
1 1444 2091 0 9 3868
1 2551 2230 0 10 3477
0 2721 2126 0 10 2072
0 2305 1725 1 11 2587
0 1442 2435 0 9 2631
0 1836 2866 0 11 3295
0 2471 1876 1 9 2453
0 2176 2267 0 12 2770
0 1735 2628 1 11 1559
0 1856 1771 0 10 2131
0 1860 2679 1 10 2019
0 1810 1889 0 13 2600
0 2299 1837 1 10 1429
0 2391 2793 0 11 2504
0 1878 1761 0 10 3778
0 2800 2567 0 10 2204
0 1729 2727 1 13 2545
0 2388 2036 1 9 2920
0 1509 2882 1 8 2572
0 1878 1765 0 9 2514
0 1997 2881 0 10 1954
0 2327 2182 0 6 1726
0 1385 2557 0 10 3083
0 2172 2266 1 10 2879
0 2435 2715 0 11 2989
0 979 3556 1 9 1859
0 1904 2371 1 9 2522
0 2817 2793 1 13 2760
0 2641 1462 0 12 2599
0 1915 2634 1 7 2519
0 2108 2338 0 8 3242
0 2920 2026 1 10 1681
0 1599 2709 1 7 1949
0 2042 1808 0 12 2864
0 2739 1805 1 10 2639
0 2398 1906 0 16 2156
0 1674 2573 0 13 1819
0 1809 2233 0 8 3175
0 1871 1874 0 11 1819
0 2030 2033 1 11 2607
0 1129 2427 1 10 2402
0 3068 2391 1 6 3093
0 1679 1418 0 11 2612
0 1472 2432 1 9 2804
0 1792 3312 0 11 2316
0 2220 1786 1 11 2999
0 2263 1701 0 11 3088
0 2414 1845 1 10 2745
0 2233 1954 1 10 2695
0 1152 2250 0 8 2566
0 2083 1785 0 10 2588
0 575 1968 0 6 2419
0 2161 1969 1 6 2533
0 2036 2178 0 9 2508
0 1701 1993 1 12 2520
0 2263 1640 0 10 2993
0 2391 2347 1 9 3449
0 1254 1579 1 13 2639
0 2415 2403 1 7 3172
0 1848 2482 0 13 3709
0 3216 2329 0 14 1494
0 2276 1493 1 13 2635
0 1767 2513 0 12 3317
0 2395 2826 0 9 1685
0 1773 2060 0 11 2708
0 2723 2016 0 8 2394
0 2523 2664 1 9 1988
0 1587 1837 0 9 2407
0 2253 2117 0 13 2160
0 1504 2267 0 11 3059
0 1746 3184 1 12 2491
0 1941 2292 1 7 2275
0 2411 2679 1 14 3262
0 3127 2180 1 13 2383
0 1801 3165 0 12 2278
0 2120 2393 0 9 1754
0 2074 2602 0 7 2025
0 1793 1595 1 8 2139
0 2399 2331 0 12 2674
0 2043 2454 0 10 2398
0 2477 2171 0 10 2543
0 2061 3127 1 9 1783
0 2182 2148 0 9 3201
0 2355 2819 0 10 2712
0 2063 2427 1 11 3145
0 2250 1879 1 6 1759
0 1332 1859 1 12 2037
0 1198 2314 0 9 1635
0 1504 2069 0 12 2763
0 2482 2873 0 9 2728
0 1257 2179 0 9 1303
0 1553 2339 0 13 1741
0 2368 1731 0 14 2578
0 2432 2622 1 11 1864
0 1866 2699 1 8 2979
0 1562 2001 0 10 2471
0 1856 2778 0 8 2579
0 1572 1882 1 8 1515
0 2636 2742 0 10 2160
0 1453 2282 1 15 2825
0 1558 2190 0 13 3293
0 1941 2395 1 13 2832
