acttime	st	d	t	t0	hcomm	hfloor	scomm	sfloor	prespart	demhsmaj	demsnmaj	orderent	stafcder	prevgenx	lethal	deathrt1	hosp01	hospdisc	hhosleng	acutediz	orphdum	mandiz01	femdiz01	peddiz01	natreg	natregsq	wpnoavg3	vandavg3	condavg3	discode
37.44658	1	1	37.446575	0	-0.222	-0.058	-0.0805	-0.009	0	1	0	18	1043	115.68	1	0.0995	1	75172	3	0	0	0	0	0	12	169	51.25	0.5	2	5500
84.29589	1	1	84.295891	0	-0.222	-0.058	-0.0805	-0.009	0	1	0	3	1043	100	0	0	0	0	0	0	0	0	0	0	1	4	25.25	0.75	0	10700
15.3863	1	1	15.386301	0	-0.222	-0.058	-0.0805	-0.009	0	1	0	2	1043	1.3	1	0.15	1	134882	3.04	0	0	1	0	0	9	100	4.25	0	0	3800
46.15891	1	1	46.158905	0	-0.222	-0.058	-0.0805	-0.009	0	1	0	19	1043	115.68	1	0.0995	1	75172	3	0	0	0	0	0	12	169	51.25	0.5	2	5500
50.86028	1	1	50.860275	0	-0.213	-0.058	-0.0805	-0.009	0	1	0	23	1029	115.68	1	0.0995	1	75172	3	0	0	0	0	0	12	169	52	0.75	2	5500
22.35616	1	1	22.356165	0	-0.2265	-0.055	-0.3615	-0.092	0	1	1	10	1163	445	0	0	1	93293	13.3	1	0	0	0	0	1	4	12.5	0	0.3333333	6400
14.00548	1	1	14.00548	0	-0.2265	-0.055	-0.3615	-0.092	0	1	1	9	1163	445	0	0	1	93293	13.3	1	0	0	0	0	1	4	12.5	0	0.3333333	6400
17.91781	1	1	17.917809	0	-0.265	-0.055	-0.3225	-0.092	0	1	1	2	1237	0.72	1	0.0275	1	70313	33.9	0	1	0	0	1	0	1	0.75	0.25	1	2500
28.73425	1	1	28.734247	0	-0.146	-0.082	-0.357	-0.092	1	1	1	7	1550	46.33	1	0.0203	1	599591	3.08	0	0	0	0	1	47	2304	94.5	5.5	1.666667	2300
2.334247	1	1	2.3342466	0	0.1875	0.159	0.049	-0.005	1	0	0	14	1608	0.22	1	0.0579	1	123767	9.06	1	0	0	0	0	24	625	344.25	1.5	15	6100
3.024657	1	0	3.0246575	0	0.2135	0.154	-0.0105	0.114	1	0	0	23	1796	0.22	1	0.0579	1	123767	9.06	1	0	0	0	0	24	625	326.25	3	8.333333	6100
12.88767	1	1	12.887671	0	-0.2265	-0.055	-0.3615	-0.092	0	1	1	3	1163	0.11	1	0.0219	1	120817	7.96	0	1	0	0	0	56	3249	124	8.5	1.666667	3500
15.87945	1	1	15.879452	0	-0.213	-0.058	-0.0805	-0.009	0	1	0	2	1029	9.19	1	0	0	0	0	0	0	0	0	0	13	196	9.5	0	1	4400
2.860274	1	1	2.8602741	0	-0.179	-0.057	-0.3615	-0.087	0	1	1	1	1053	20.6	0	0	1	24692	2.3	1	0	0	0	0	0	1	7	2.25	2	4300
